Strain (mm/mm)	Engineering stress (MPa)	Strain up to UTS (mm/mm)	Engineering stress up to UTS (MPa)	True strain (mm/mm)	True stress (MPa)	True strain in plastic region (mm/mm)	True stress in plastic region (MPa)	Fitted true strain in plastic region (mm/mm)	Fitted true stress in plastic region (MPa)	Plastic strain for Ansys (mm/mm)
0.0045035	331.5316459	0.0045035	331.5316459	0.00449339	333.0246987	0.017752979	388.1634162			
0.0045275	333.0291872	0.0045275	333.0291872	0.004517282	334.5369768	0.017851215	387.9551847			
0.0045715	334.3957281	0.0045715	334.3957281	0.004561082	335.9244182	0.017851215	388.3938686			
0.0045715	335.7615795	0.0045715	335.7615795	0.004561082	337.2965136	0.017949441	388.4622052			
0.0045755	337.1143309	0.0045755	337.1143309	0.004565064	338.6567975	0.017949441	388.484668			
0.0046155	338.2678238	0.0046155	338.2678238	0.004604881	339.8290989	0.018047657	388.7236066			
0.0046235	339.6343647	0.0046235	339.6343647	0.004612844	341.2046641	0.018145863	388.7098282			
0.0046115	340.8181945	0.0046115	340.8181945	0.0046009	342.3898776	0.018145863	388.9485426			
0.0046555	341.7386446	0.0046555	341.7386446	0.004644697	343.3296088	0.01824406	388.7332546			
0.0047075	342.8273268	0.0047075	342.8273268	0.004696454	344.4411864	0.01824406	389.3511642			
0.0046795	343.9235932	0.0046795	343.9235932	0.004668585	345.5329836	0.018342248	389.0621521			
0.0047035	344.9247119	0.0047035	344.9247119	0.004692473	346.5470653	0.018440425	389.271012			
0.004819	345.647972	0.004819	345.647972	0.004807426	347.3136495	0.018440425	389.5687906			
0.004831	346.6270275	0.004831	346.6270275	0.004819368	348.3015827	0.018538593	389.6435592			
0.004803	347.4302667	0.004803	347.4302667	0.004791502	349.0989743	0.018538593	389.8079154			
0.004827	348.1100898	0.004827	348.1100898	0.004815387	349.7904172	0.018636752	390.0253039			
0.004911	348.9057448	0.004911	348.9057448	0.00489898	350.6192209	0.018734901	390.0853642			
0.004947	349.5786731	0.004947	349.5786731	0.004934804	351.3080388	0.018734901	389.9666393			
0.004971	350.4115598	0.004971	350.4115598	0.004958685	352.1534556	0.01883304	390.243088			
0.005007	350.7404397	0.005007	350.7404397	0.004994507	352.4965971	0.01883304	390.1166229			
0.0050865	351.3464889	0.0050865	351.3464889	0.005073607	353.1336128	0.018931169	390.6987599			
0.0051105	352.0118329	0.0051105	352.0118329	0.005097486	353.8107894	0.019029289	390.5129289			
0.0051465	352.420692	0.0051465	352.420692	0.005133302	354.2344251	0.019029289	390.6323916			
0.0051905	352.8660934	0.0051905	352.8660934	0.005177076	354.6976448	0.019127399	390.9082617			
0.0052745	353.3707896	0.0052745	353.3707896	0.005260639	355.2346438	0.019127399	390.8274408			
0.00531	353.5459164	0.00531	353.5459164	0.005295952	355.4232452	0.0192255	390.7983086			
0.005342	354.1305918	0.005342	354.1305918	0.005327782	356.0223575	0.0192255	390.8882746			
0.005458	354.0506127	0.005458	354.0506127	0.005443159	355.9830209	0.019323591	391.3062005			
0.005466	354.6421828	0.005466	354.6421828	0.005451116	356.580657	0.019421672	391.3298192			
0.005514	355.022084	0.005514	355.022084	0.005498854	356.9796757	0.019421672	391.2328056			
0.0055695	355.1027526	0.0055695	355.1027526	0.005554048	357.0804974	0.019421672	391.4711217			
0.0056655	355.5998646	0.0056655	355.5998646	0.005649511	357.6145157	0.019519744	391.6135697			
