Strain (mm/mm)	Stress (MPa)
0.0269115	394.1415578
0.0270115	394.163621
0.0270115	394.2063685
0.0271115	394.4918115
0.0271115	394.3601216
0.0272115	394.4111428
0.0272115	394.5435222
0.0273115	394.6090224
0.0274115	394.6600436
0.0274115	394.7841492
0.0275115	395.1281976
0.0275115	394.959276
0.0276115	395.0764869
0.0276115	395.0985501
0.0277115	395.3833036
0.0278115	395.4198458
0.0279115	395.4122616
0.0279115	395.5439514
0.0279115	395.4860355
0.0280115	395.5149935
0.0280115	395.5005145
0.0281115	395.7700995
0.0282115	395.8804156
0.0282115	395.9535
0.0283115	396.0410634
0.0283115	396.1293163
0.0284115	396.3037537
0.0285115	396.3768381
0.0285115	396.5526544
0.0286115	396.3037537
0.0287115	396.6395284
0.0287115	396.9325556
0.0287115	396.734676
0.0288115	396.8298237
0.0289115	396.8008657
0.0289115	397.020119
0.0290115	397.0932034
0.0290115	396.7932815
0.0291115	397.0642454
0.0292115	397.3338304
0.0292115	397.3855411
0.0292115	397.4144991
0.0294115	397.4289781
0.0294115	397.5537732
0.0295115	397.8088792
0.0295115	397.772337
0.0296115	397.8819636
0.0297115	397.9991745
0.0298115	397.9405691
0.0298115	398.4080336
0.0298115	398.312886
0.0299115	398.2329068
0.0300115	398.2032593
0.0300115	398.3059912
0.0300115	398.4521601
0.0300115	398.2618648
0.0301115	398.4156179
0.0302115	398.6121184
0.0303115	398.5183497
0.0303115	398.9051456
0.0303115	399.0223565
0.0304115	398.9713353
0.0305115	399.1823149
0.0305115	399.7449271
0.0305115	399.4532788
0.0306115	399.2553993
0.0306115	399.3870892
0.0307115	399.6573636
0.0308115	399.6132372
0.0308115	399.4974053
0.0308115	399.7380323
0.0309115	399.6939059
0.0309115	399.5987582
0.0310115	399.576695
0.0311115	399.7814693
0.0312115	399.9207434
0.0312115	400.2130811
0.0312115	400.3957921
0.0312115	400.3882079
0.0313115	400.2496233
0.0313115	400.2420391
0.0314115	400.3371867
0.0315115	400.5633347
0.0315115	400.6508982
0.0316115	400.4033764
0.0317115	400.8411935
0.0317115	400.8267145
0.0317115	400.5702295
0.0318115	400.9728833
0.0319115	400.8708409
